"","Date","Site","Transect","Code","adult","juv"
"1",2014-05-25,"Hanging Gardens - Mooring","T1","HG4",37,3
"2",2014-05-25,"Hanging Gardens - Mooring","T2","HG5",52,1
"3",2014-05-25,"Hanging Gardens - Mooring","T3","HG6",20,1
"4",2014-05-28,"Limuka - Ridge","T1","L4",25,2
"5",2014-05-28,"Limuka - Ridge","T2","L5",29,4
"6",2014-05-28,"Limuka - Ridge","T3","L6",16,4
"7",2014-05-29,"Big sister?","T1","BS1",12,2
"8",2014-05-29,"Big sister?","T2","BS2",7,2
"9",2014-05-29,"Big sister?","T3","BS3",6,0
"10",2014-05-29,"Sister #1 - Site","T1","S_1-1",16,2
"11",2014-05-29,"Sister #2","T1","S_2-1",2,0
"12",2014-05-29,"Sister #2","T2","S_2-2",4,1
"13",2014-05-29,"Sister #2","T3","S_2-3",3,0
"14",2014-05-29,"Sister #3","T1","S_3-1",39,6
"15",2014-05-29,"Sister #3","T2","S_3-2",38,6
"16",2014-05-29,"Sister #3","T3","S_3-3",18,4
"17",2014-06-11,"Luba Luba - Mooring","T1","LLM1",10,11
"18",2014-06-11,"Luba Luba - Mooring","T1","LLM2",20,5
"19",2014-06-11,"Luba Luba - Mooring","T1","LLM3",7,2
"20",2014-06-11,"Luba Luba - Mooring","T2","LLM1",15,7
"21",2014-06-11,"Luba Luba - Mooring","T2","LLM2",6,3
"22",2014-06-11,"Luba Luba - Mooring","T3","LLM1",0,1
"23",2014-06-11,"Luba Luba - Mooring","T3","LLM2",17,11
"24",2014-06-11,"Luba Luba - Mooring","T3","LLM3",23,12
"25",2014-06-27,"Maya's","T1","M1",21,6
"26",2014-06-27,"Maya's","T3","M3",14,8
"27",2014-06-28,"Luba Luba","T1","LL1",5,1
"28",2014-06-28,"Luba Luba","T2","LL2",2,0
"29",2014-06-28,"Maya's - Other side","T1","M4",11,0
"30",2014-06-28,"Maya's - Other side","T2","M5",15,0
"31",2014-06-29,"Kilu","T1","K1",0,1
"32",2014-07-07,"Limuka","T1","L1",30,11
"33",2014-07-07,"Limuka","T2","L2",26,8
"34",2014-07-07,"Limuka","T3","L3",54,18
"35",2014-07-07,"Luba Luba - Lagoon","T1","LLL1",7,1
"36",2014-07-07,"Luba Luba - Lagoon","T2","LLL1",12,1
"37",2014-07-07,"Luba Luba - Lagoon","T3","LLL1",24,4
"38",2014-07-08,"Sister #3 (map)","T1","S_3-1",23,9
"39",2014-07-08,"Sister #3 (map)","T2","S_3-2",20,8
"40",2014-07-08,"Sister #3 (map)","T3","S_3-3",28,6
